strain,growth_rate_ratio,mtdna_ratio,simulation_index,time,mean_h,nspl,ndau,ngen,startbud
WT and WT,1.0,1.0,0,0.0,0.5,5,11,14,32
WT and WT,1.0,1.0,0,1.48369631,0.4953125,5,11,14,32
WT and WT,1.0,1.0,0,2.96739262,0.5005208333333333,5,11,14,32
WT and WT,1.0,1.0,0,4.45108893,0.5022135416666667,5,11,14,32
WT and WT,1.0,1.0,0,5.93478524,0.4957682291666667,5,11,14,32
WT and WT,1.0,1.0,0,7.41848155,0.49661458333333336,5,11,14,32
WT and WT,1.0,1.0,0,8.90217786,0.49619140625,5,11,14,32
WT and WT,1.0,1.0,0,10.385874170000001,0.49785970052083334,5,11,14,32
WT and WT,1.0,1.0,0,11.86957048,0.49813639322916664,5,11,14,32
WT and WT,1.0,1.0,0,13.35326679,0.49801228841145834,5,11,14,32
WT and WT,1.0,1.0,0,14.8369631,0.49853413899739585,5,11,14,32
WT and WT,1.0,1.0,0,16.32065941,0.4986974080403646,5,11,14,32
WT and WT,1.0,1.0,0,17.80435572,0.4986137390136719,5,11,14,32
WT and WT,1.0,1.0,0,19.28805203,0.4986297607421875,5,11,14,32
WT and WT,1.0,1.0,0,20.771748340000002,0.49865640004475914,5,11,14,32
WT and WT,1.0,1.0,1,0.0,0.5,5,11,14,32
WT and WT,1.0,1.0,1,1.48369631,0.4984375,5,11,14,32
WT and WT,1.0,1.0,1,2.96739262,0.4973958333333333,5,11,14,32
WT and WT,1.0,1.0,1,4.45108893,0.49908854166666666,5,11,14,32
WT and WT,1.0,1.0,1,5.93478524,0.49973958333333335,5,11,14,32
WT and WT,1.0,1.0,1,7.41848155,0.4988606770833333,5,11,14,32
WT and WT,1.0,1.0,1,8.90217786,0.500537109375,5,11,14,32
WT and WT,1.0,1.0,1,10.385874170000001,0.5017333984375,5,11,14,32
WT and WT,1.0,1.0,1,11.86957048,0.5027425130208333,5,11,14,32
WT and WT,1.0,1.0,1,13.35326679,0.5032552083333334,5,11,14,32
WT and WT,1.0,1.0,1,14.8369631,0.5024851481119792,5,11,14,32
WT and WT,1.0,1.0,1,16.32065941,0.5024993896484375,5,11,14,32
WT and WT,1.0,1.0,1,17.80435572,0.5025380452473959,5,11,14,32
WT and WT,1.0,1.0,1,19.28805203,0.5025321960449218,5,11,14,32
WT and WT,1.0,1.0,1,20.771748340000002,0.5025847752888998,5,11,14,32
WT and WT,1.0,1.0,2,0.0,0.5,5,11,14,32
WT and WT,1.0,1.0,2,1.48369631,0.5,5,11,14,32
WT and WT,1.0,1.0,2,2.96739262,0.4953125,5,11,14,32
WT and WT,1.0,1.0,2,4.45108893,0.49192708333333335,5,11,14,32
WT and WT,1.0,1.0,2,5.93478524,0.49811197916666666,5,11,14,32
WT and WT,1.0,1.0,2,7.41848155,0.5027018229166667,5,11,14,32
WT and WT,1.0,1.0,2,8.90217786,0.5047200520833334,5,11,14,32
WT and WT,1.0,1.0,2,10.385874170000001,0.50517578125,5,11,14,32
WT and WT,1.0,1.0,2,11.86957048,0.5052205403645833,5,11,14,32
WT and WT,1.0,1.0,2,13.35326679,0.5047444661458333,5,11,14,32
WT and WT,1.0,1.0,2,14.8369631,0.5043538411458334,5,11,14,32
WT and WT,1.0,1.0,2,16.32065941,0.5042556762695313,5,11,14,32
WT and WT,1.0,1.0,2,17.80435572,0.5041124979654948,5,11,14,32
WT and WT,1.0,1.0,2,19.28805203,0.5040416717529297,5,11,14,32
WT and WT,1.0,1.0,2,20.771748340000002,0.5040439605712891,5,11,14,32
WT and WT,1.0,1.0,3,0.0,0.5,5,11,14,32
WT and WT,1.0,1.0,3,1.48369631,0.4984375,5,11,14,32
WT and WT,1.0,1.0,3,2.96739262,0.4981770833333333,5,11,14,32
WT and WT,1.0,1.0,3,4.45108893,0.4993489583333333,5,11,14,32
WT and WT,1.0,1.0,3,5.93478524,0.5001953125,5,11,14,32
WT and WT,1.0,1.0,3,7.41848155,0.5013020833333334,5,11,14,32
WT and WT,1.0,1.0,3,8.90217786,0.5015950520833333,5,11,14,32
WT and WT,1.0,1.0,3,10.385874170000001,0.5006184895833333,5,11,14,32
WT and WT,1.0,1.0,3,11.86957048,0.5008219401041667,5,11,14,32
WT and WT,1.0,1.0,3,13.35326679,0.5009806315104167,5,11,14,32
WT and WT,1.0,1.0,3,14.8369631,0.50152587890625,5,11,14,32
WT and WT,1.0,1.0,3,16.32065941,0.5015696207682292,5,11,14,32
WT and WT,1.0,1.0,3,17.80435572,0.5015324910481771,5,11,14,32
WT and WT,1.0,1.0,3,19.28805203,0.5015824635823568,5,11,14,32
WT and WT,1.0,1.0,3,20.771748340000002,0.5015979766845703,5,11,14,32
WT and WT,1.0,1.0,4,0.0,0.5,5,11,14,32
WT and WT,1.0,1.0,4,1.48369631,0.5057291666666667,5,11,14,32
WT and WT,1.0,1.0,4,2.96739262,0.49947916666666664,5,11,14,32
WT and WT,1.0,1.0,4,4.45108893,0.5032552083333334,5,11,14,32
WT and WT,1.0,1.0,4,5.93478524,0.5051432291666667,5,11,14,32
WT and WT,1.0,1.0,4,7.41848155,0.5083984375,5,11,14,32
WT and WT,1.0,1.0,4,8.90217786,0.5094401041666666,5,11,14,32
WT and WT,1.0,1.0,4,10.385874170000001,0.5111246744791667,5,11,14,32
WT and WT,1.0,1.0,4,11.86957048,0.5117228190104167,5,11,14,32
WT and WT,1.0,1.0,4,13.35326679,0.5115885416666667,5,11,14,32
WT and WT,1.0,1.0,4,14.8369631,0.5112701416015625,5,11,14,32
WT and WT,1.0,1.0,4,16.32065941,0.5113850911458333,5,11,14,32
WT and WT,1.0,1.0,4,17.80435572,0.5113619486490886,5,11,14,32
WT and WT,1.0,1.0,4,19.28805203,0.5114397684733073,5,11,14,32
WT and WT,1.0,1.0,4,20.771748340000002,0.5115222930908203,5,11,14,32
WT and WT,1.0,1.0,5,0.0,0.5,5,11,14,32
WT and WT,1.0,1.0,5,1.48369631,0.49635416666666665,5,11,14,32
WT and WT,1.0,1.0,5,2.96739262,0.49244791666666665,5,11,14,32
WT and WT,1.0,1.0,5,4.45108893,0.487109375,5,11,14,32
WT and WT,1.0,1.0,5,5.93478524,0.48736979166666666,5,11,14,32
WT and WT,1.0,1.0,5,7.41848155,0.4875,5,11,14,32
WT and WT,1.0,1.0,5,8.90217786,0.48761393229166666,5,11,14,32
WT and WT,1.0,1.0,5,10.385874170000001,0.488623046875,5,11,14,32
WT and WT,1.0,1.0,5,11.86957048,0.4889404296875,5,11,14,32
WT and WT,1.0,1.0,5,13.35326679,0.4889444986979167,5,11,14,32
WT and WT,1.0,1.0,5,14.8369631,0.48879801432291664,5,11,14,32
WT and WT,1.0,1.0,5,16.32065941,0.4891169230143229,5,11,14,32
WT and WT,1.0,1.0,5,17.80435572,0.48891754150390626,5,11,14,32
WT and WT,1.0,1.0,5,19.28805203,0.48908602396647133,5,11,14,32
WT and WT,1.0,1.0,5,20.771748340000002,0.4890528361002604,5,11,14,32
WT and WT,1.0,1.0,6,0.0,0.5,5,11,14,32
WT and WT,1.0,1.0,6,1.48369631,0.48802083333333335,5,11,14,32
WT and WT,1.0,1.0,6,2.96739262,0.490625,5,11,14,32
WT and WT,1.0,1.0,6,4.45108893,0.49895833333333334,5,11,14,32
WT and WT,1.0,1.0,6,5.93478524,0.496875,5,11,14,32
WT and WT,1.0,1.0,6,7.41848155,0.496484375,5,11,14,32
WT and WT,1.0,1.0,6,8.90217786,0.49611002604166665,5,11,14,32
WT and WT,1.0,1.0,6,10.385874170000001,0.4975179036458333,5,11,14,32
WT and WT,1.0,1.0,6,11.86957048,0.49726969401041665,5,11,14,32
WT and WT,1.0,1.0,6,13.35326679,0.49748331705729165,5,11,14,32
WT and WT,1.0,1.0,6,14.8369631,0.49668477376302084,5,11,14,32
WT and WT,1.0,1.0,6,16.32065941,0.4965052286783854,5,11,14,32
WT and WT,1.0,1.0,6,17.80435572,0.4966156005859375,5,11,14,32
WT and WT,1.0,1.0,6,19.28805203,0.49661649068196617,5,11,14,32
WT and WT,1.0,1.0,6,20.771748340000002,0.49659430185953773,5,11,14,32
WT and WT,1.0,1.0,7,0.0,0.5,5,11,14,32
WT and WT,1.0,1.0,7,1.48369631,0.5005208333333333,5,11,14,32
WT and WT,1.0,1.0,7,2.96739262,0.5078125,5,11,14,32
WT and WT,1.0,1.0,7,4.45108893,0.512890625,5,11,14,32
WT and WT,1.0,1.0,7,5.93478524,0.5138020833333333,5,11,14,32
WT and WT,1.0,1.0,7,7.41848155,0.5126302083333333,5,11,14,32
WT and WT,1.0,1.0,7,8.90217786,0.5151204427083333,5,11,14,32
WT and WT,1.0,1.0,7,10.385874170000001,0.5158284505208334,5,11,14,32
WT and WT,1.0,1.0,7,11.86957048,0.5152303059895833,5,11,14,32
WT and WT,1.0,1.0,7,13.35326679,0.515911865234375,5,11,14,32
WT and WT,1.0,1.0,7,14.8369631,0.5159718831380208,5,11,14,32
WT and WT,1.0,1.0,7,16.32065941,0.515863545735677,5,11,14,32
WT and WT,1.0,1.0,7,17.80435572,0.5159769694010417,5,11,14,32
WT and WT,1.0,1.0,7,19.28805203,0.5159680684407552,5,11,14,32
WT and WT,1.0,1.0,7,20.771748340000002,0.5160283406575521,5,11,14,32
WT and WT,1.0,1.0,8,0.0,0.5,5,11,14,32
WT and WT,1.0,1.0,8,1.48369631,0.5067708333333333,5,11,14,32
WT and WT,1.0,1.0,8,2.96739262,0.5046875,5,11,14,32
WT and WT,1.0,1.0,8,4.45108893,0.5026041666666666,5,11,14,32
WT and WT,1.0,1.0,8,5.93478524,0.5016276041666666,5,11,14,32
WT and WT,1.0,1.0,8,7.41848155,0.49755859375,5,11,14,32
WT and WT,1.0,1.0,8,8.90217786,0.4976399739583333,5,11,14,32
WT and WT,1.0,1.0,8,10.385874170000001,0.49757486979166665,5,11,14,32
WT and WT,1.0,1.0,8,11.86957048,0.49765218098958336,5,11,14,32
WT and WT,1.0,1.0,8,13.35326679,0.497894287109375,5,11,14,32
WT and WT,1.0,1.0,8,14.8369631,0.4975860595703125,5,11,14,32
WT and WT,1.0,1.0,8,16.32065941,0.49783223470052085,5,11,14,32
WT and WT,1.0,1.0,8,17.80435572,0.4979169209798177,5,11,14,32
WT and WT,1.0,1.0,8,19.28805203,0.4978594462076823,5,11,14,32
WT and WT,1.0,1.0,8,20.771748340000002,0.4978573481241862,5,11,14,32
WT and WT,1.0,1.0,9,0.0,0.5,5,11,14,32
WT and WT,1.0,1.0,9,1.48369631,0.5072916666666667,5,11,14,32
WT and WT,1.0,1.0,9,2.96739262,0.5091145833333334,5,11,14,32
WT and WT,1.0,1.0,9,4.45108893,0.5055989583333333,5,11,14,32
WT and WT,1.0,1.0,9,5.93478524,0.5024088541666667,5,11,14,32
WT and WT,1.0,1.0,9,7.41848155,0.5012044270833333,5,11,14,32
WT and WT,1.0,1.0,9,8.90217786,0.50185546875,5,11,14,32
WT and WT,1.0,1.0,9,10.385874170000001,0.5018229166666667,5,11,14,32
WT and WT,1.0,1.0,9,11.86957048,0.5015950520833333,5,11,14,32
WT and WT,1.0,1.0,9,13.35326679,0.5019388834635417,5,11,14,32
WT and WT,1.0,1.0,9,14.8369631,0.50216064453125,5,11,14,32
WT and WT,1.0,1.0,9,16.32065941,0.5017796834309896,5,11,14,32
WT and WT,1.0,1.0,9,17.80435572,0.5015998840332031,5,11,14,32
WT and WT,1.0,1.0,9,19.28805203,0.50155029296875,5,11,14,32
WT and WT,1.0,1.0,9,20.771748340000002,0.5015512466430664,5,11,14,32
WT and WT,1.0,1.0,10,0.0,0.5,5,11,14,32
WT and WT,1.0,1.0,10,1.48369631,0.49895833333333334,5,11,14,32
WT and WT,1.0,1.0,10,2.96739262,0.49895833333333334,5,11,14,32
WT and WT,1.0,1.0,10,4.45108893,0.49440104166666665,5,11,14,32
WT and WT,1.0,1.0,10,5.93478524,0.4991536458333333,5,11,14,32
WT and WT,1.0,1.0,10,7.41848155,0.4981770833333333,5,11,14,32
WT and WT,1.0,1.0,10,8.90217786,0.49508463541666664,5,11,14,32
